,Region,SentOn,ReceivedTime,LetterCount,Angriness
0,East,2017-11-01 13:54:03+00:00,2017-11-01 14:02:18+00:00,83,0.1839080459770115
1,East,2017-11-01 14:08:08+00:00,2017-11-01 15:27:13+00:00,200,0.06120434353405726
2,Americas,2017-11-01 14:08:17+00:00,2017-11-01 14:17:11+00:00,46,0.1134453781512605
3,Americas,2017-11-01 14:08:55+00:00,2017-11-01 15:07:49+00:00,50,0.0945945945945946
4,Americas,2017-11-01 14:09:42+00:00,2017-11-01 14:18:24+00:00,65,0.0546875
5,Emea,2017-11-01 14:10:02+00:00,2017-11-01 14:22:19+00:00,13,0.1
6,Emea,2017-11-01 14:10:45+00:00,2017-11-01 14:19:16+00:00,165,0.10159118727050184
7,Emea,2017-11-01 14:15:45+00:00,2017-11-01 15:25:11+00:00,2,0.125
8,Americas,2017-11-01 14:16:10+00:00,2017-11-01 15:44:09+00:00,3,0.3333333333333333
9,Emea,2017-11-01 14:16:22+00:00,2017-11-01 15:04:28+00:00,2,0.2
10,Emea,2017-11-01 14:16:41+00:00,2017-11-01 14:27:00+00:00,80,0.11714285714285715
11,Emea,2017-11-01 14:16:48+00:00,2017-11-01 15:47:00+00:00,12,0.06382978723404255
12,Emea,2017-11-01 14:16:54+00:00,2017-11-01 15:55:16+00:00,1,0.125
13,Emea,2017-11-01 14:17:07+00:00,2017-11-01 15:47:21+00:00,19,0.09333333333333334
14,Emea,2017-11-01 14:17:25+00:00,2017-11-01 14:26:03+00:00,47,0.13917525773195877
15,Emea,2017-11-01 14:17:29+00:00,2017-11-01 15:04:26+00:00,4,0.12903225806451613
16,Emea,2017-11-01 14:18:00+00:00,2017-11-01 14:53:55+00:00,72,0.10240963855421686
17,Americas,2017-11-01 14:18:00+00:00,2017-11-01 15:07:24+00:00,46,0.16243654822335024
18,Americas,2017-11-01 14:18:12+00:00,2017-11-01 14:29:46+00:00,5,1.0
19,Emea,2017-11-01 14:18:30+00:00,2017-11-01 15:09:48+00:00,3,0.07692307692307693
20,Emea,2017-11-01 14:18:37+00:00,2017-11-01 15:06:07+00:00,10,0.2
21,Emea,2017-11-01 14:18:37+00:00,2017-11-01 15:55:15+00:00,23,0.04
22,Americas,2017-11-01 14:18:38+00:00,2017-11-01 15:18:48+00:00,37,0.15625
23,Americas,2017-11-01 14:19:15+00:00,2017-11-01 14:29:21+00:00,41,0.1643835616438356
24,Emea,2017-11-01 14:19:23+00:00,2017-11-01 15:08:44+00:00,4,0.047619047619047616
25,Emea,2017-11-01 14:19:26+00:00,2017-11-01 15:35:06+00:00,5,0.3181818181818182
26,Emea,2017-11-01 14:19:41+00:00,2017-11-01 14:58:27+00:00,41,0.23170731707317074
27,Emea,2017-11-01 14:20:02+00:00,2017-11-01 15:21:07+00:00,8,0.08333333333333333
28,Emea,2017-11-01 14:20:11+00:00,2017-11-01 14:59:52+00:00,4,1.0
29,Americas,2017-11-01 14:20:12+00:00,2017-11-01 14:28:57+00:00,7,0.08695652173913043
30,Americas,2017-11-01 14:20:35+00:00,2017-11-01 14:34:14+00:00,39,0.16352201257861634
31,Americas,2017-11-01 14:20:38+00:00,2017-11-01 14:45:55+00:00,11,0.05714285714285714
32,Americas,2017-11-01 14:20:53+00:00,2017-11-01 15:11:06+00:00,4,1.0
33,Emea,2017-11-01 14:21:04+00:00,2017-11-01 16:01:28+00:00,6,0.047619047619047616
34,Emea,2017-11-01 14:21:09+00:00,2017-11-01 15:06:16+00:00,27,0.3125
35,Americas,2017-11-01 14:21:16+00:00,2017-11-01 15:46:41+00:00,44,0.11274509803921569
36,Emea,2017-11-01 14:21:41+00:00,2017-11-01 15:24:07+00:00,45,0.17901234567901234
37,Emea,2017-11-01 14:21:46+00:00,2017-11-01 14:56:12+00:00,54,0.12639405204460966
38,Emea,2017-11-01 14:21:52+00:00,2017-11-01 15:11:33+00:00,9,0.0425531914893617
39,East,2017-11-01 14:22:19+00:00,2017-11-01 16:02:36+00:00,24,0.13725490196078433
40,Emea,2017-11-01 14:22:24+00:00,2017-11-01 15:23:44+00:00,41,0.04597701149425287
41,Americas,2017-11-01 14:22:30+00:00,2017-11-01 15:42:21+00:00,26,0.2231404958677686
42,Americas,2017-11-01 14:22:58+00:00,2017-11-01 15:18:43+00:00,5,1.0
43,Americas,2017-11-01 14:23:02+00:00,2017-11-01 15:19:55+00:00,7,0.03125
44,Emea,2017-11-01 14:23:04+00:00,2017-11-01 15:28:27+00:00,13,0.05555555555555555
45,Emea,2017-11-01 14:23:13+00:00,2017-11-01 15:08:15+00:00,7,0.07142857142857142
46,Americas,2017-11-01 14:23:18+00:00,2017-11-01 15:08:18+00:00,8,0.058823529411764705
47,Americas,2017-11-01 14:23:20+00:00,2017-11-01 15:46:56+00:00,87,0.1729490022172949
48,East,2017-11-01 14:23:29+00:00,2017-11-01 14:41:42+00:00,9,0.075
49,East,2017-11-01 14:23:33+00:00,2017-11-01 16:02:37+00:00,61,0.10507246376811594
50,Emea,2017-11-01 14:23:38+00:00,2017-11-01 15:18:31+00:00,10,0.03333333333333333
51,Emea,2017-11-01 14:23:50+00:00,2017-11-01 15:15:46+00:00,2,0.125
52,Americas,2017-11-01 14:23:50+00:00,2017-11-01 15:09:01+00:00,9,0.11475409836065574
53,East,2017-11-01 14:24:05+00:00,2017-11-01 15:32:44+00:00,3,0.07142857142857142
54,East,2017-11-01 14:24:05+00:00,2017-11-01 15:16:42+00:00,18,0.19672131147540983
55,Emea,2017-11-01 14:24:12+00:00,2017-11-01 15:41:42+00:00,8,0.02702702702702703
56,Americas,2017-11-01 14:24:14+00:00,2017-11-01 15:04:15+00:00,11,0.11538461538461539
57,Americas,2017-11-01 14:24:20+00:00,2017-11-01 15:18:37+00:00,2,0.1111111111111111
58,Emea,2017-11-01 14:24:20+00:00,2017-11-01 15:46:25+00:00,16,0.3728813559322034
59,Emea,2017-11-01 14:24:30+00:00,2017-11-01 15:11:13+00:00,7,0.10344827586206896
